Scientific_Name,en_uk,fr,es,nl,no
Musophaga rossae,Ross's Turaco,Touraco de Lady Ross,Turaco de Ross,Lady Ross' Toerako,rødtoppturako
Mustelirallus albicollis,Ash-throated Crake,Râle plombé,Polluela Turura,Witkeelporseleinhoen,rørrikse
Mustelirallus erythrops,Paint-billed Crake,Râle à bec peint,Polluela Picopinta,Roodsnavelhoen,kvekkerikse
Myadestes coloratus,Varied Solitaire,Solitaire varié,Solitario Variado,Bonte Solitaire,dariensolitærtrost
Myadestes elisabeth,Cuban Solitaire,Solitaire de Cuba,Solitario Cubano,Cubaanse Solitaire,kubasolitærtrost
Myadestes genibarbis,Rufous-throated Solitaire,Solitaire siffleur,Solitario Gorjirrufo,Roodkeelsolitaire,rødstrupesolitærtrost
Myadestes melanops,Black-faced Solitaire,Solitaire masqué,Solitario Carinegro,Zwartmaskersolitaire,maskesolitærtrost
Myadestes obscurus,Omao,Solitaire d'Hawaï,Solitario Omao,Hawaiilijster,omao
Myadestes occidentalis,Brown-backed Solitaire,Solitaire à dos brun,Solitario Dorsipardo,Bruinrugsolitaire,tøylesolitærtrost
Myadestes palmeri,Puaiohi,Solitaire puaïohi,Solitario Puaiohi,Kleine Kauailijster,puaiohi
Myadestes ralloides,Andean Solitaire,Solitaire des Andes,Solitario Andino,Andessolitaire,andessolitærtrost
Myadestes townsendi,Townsend's Solitaire,Solitaire de Townsend,Solitario Norteño,Bergsolitaire,gråsolitærtrost
Myadestes unicolor,Slate-coloured Solitaire,Solitaire ardoisé,Solitario Unicolor,Leigrijze Solitaire,skifersolitærtrost
Mycerobas affinis,Collared Grosbeak,Gros-bec voisin,Picogordo Acollarado,Geelrugdikbek,gullkjernebiter
Mycerobas carnipes,White-winged Grosbeak,Gros-bec à ailes blanches,Picogordo Aliblanco,Spiegeldikbek,einerkjernebiter
Mycerobas icterioides,Black-and-yellow Grosbeak,Gros-bec noir et jaune,Picogordo Negrigualdo,Geelnekdikbek,pirolkjernebiter
Mycteria americana,Wood Stork,Tantale d'Amérique,Tántalo Americano,Kaalkopooievaar,amerikastork
Mycteria leucocephala,Painted Stork,Tantale indien,Tántalo Indio,Indische Nimmerzat,beltestork
Myiagra alecto,Shining Flycatcher,Monarque luisant,Monarca Reluciente,Zwarte Monarch,glansmonark
Myiagra caledonica,Melanesian Flycatcher,Monarque mélanésien,Monarca Melanesio,Vanuatumonarch,melanesiamonark
Myiagra cyanoleuca,Satin Flycatcher,Monarque satiné,Monarca Satinado,Satijnmonarch,satengmonark
Myiagra ferrocyanea,Steel-blue Flycatcher,Monarque acier,Monarca Acerado,Staalmonarch,stålmonark
Myiagra galeata,Moluccan Flycatcher,Monarque des Moluques,Monarca Moluqueño,Helmmonarch,molukkmonark
Myiagra inquieta,Restless Flycatcher,Monarque infatigable,Monarca Inquieto,Grote Witkeelmonarch,uromonark
Myiagra nana,Paperbark Flycatcher,Monarque menu,Monarca Chico,Kleine Witkeelmonarch,papirbarkmonark
Myiagra rubecula,Leaden Flycatcher,Monarque rougegorge,Monarca Plomizo,Zilvermonarch,blymonark
Myiagra ruficollis,Broad-billed Flycatcher,Monarque à bec large,Monarca Piquiancho,Kaneelborstmonarch,rødstrupemonark
Myiagra vanikorensis,Vanikoro Flycatcher,Monarque de Vanikoro,Monarca de Vanikoro,Roodbuikmonarch,rødbukmonark
Myiarchus antillarum,Puerto Rican Flycatcher,Tyran de Porto Rico,Copetón Puertorriqueño,Puerto-Ricotiran,puertoricotyrann
Myiarchus apicalis,Apical Flycatcher,Tyran à queue givrée,Copetón Apical,Zoomstaarttiran,colombiatyrann
Myiarchus barbirostris,Sad Flycatcher,Tyran triste,Copetón Jamaicano,Jamaicatiran,jamaicatyrann
Myiarchus cephalotes,Pale-edged Flycatcher,Tyran givré,Copetón Montañero,Taczanowski's Tiran,andestyrann
Myiarchus cinerascens,Ash-throated Flycatcher,Tyran à gorge cendrée,Copetón Cenizo,Grijskeeltiran,blektyrann
Myiarchus crinitus,Great Crested Flycatcher,Tyran huppé,Copetón Viajero,Grote Kuiftiran,lundtyrann
Myiarchus ferox,Short-crested Flycatcher,Tyran féroce,Copetón Feroz,Kortkuiftiran,brasiltyrann
Myiarchus nuttingi,Nutting's Flycatcher,Tyran de Nutting,Copetón de Nutting,Bleekkeeltiran,mestistyrann
Myiarchus panamensis,Panama Flycatcher,Tyran du Panama,Copetón Panameño,Panamese Tiran,panamatyrann
Myiarchus phaeocephalus,Sooty-crowned Flycatcher,Tyran à front gris,Copetón Tiznado,Roetkruintiran,sothodetyrann
Myiarchus sagrae,La Sagra's Flycatcher,Tyran de La Sagra,Copetón de De La Sagra,La Sagra's Tiran,kubatyrann
Myiarchus stolidus,Stolid Flycatcher,Tyran grosse-tête,Copetón Bobito,Dikkoptiran,karibtyrann
Myiarchus swainsoni,Swainson's Flycatcher,Tyran de Swainson,Copetón de Swainson,Swainsons Tiran,dryadetyrann
Myiarchus tuberculifer,Dusky-capped Flycatcher,Tyran olivâtre,Copetón Capirotado,Monnikskaptiran,mørkhettetyrann
Myiarchus tyrannulus,Brown-crested Flycatcher,Tyran de Wied,Copetón Tiranillo,Cayennetiran,brunstenktyrann
Myiarchus venezuelensis,Venezuelan Flycatcher,Tyran du Venezuela,Copetón Venezolano,Venezuelatiran,venezuelatyrann
Myiarchus yucatanensis,Yucatan Flycatcher,Tyran du Yucatan,Copetón Yucateco,Yucatántiran,yucatántyrann
Myiobius atricaudus,Black-tailed Flycatcher,Barbichon à queue noire,Moscareta Colinegra,Zwartstaarttiran,svarthaletyrann
Myiobius barbatus,Whiskered Flycatcher,Barbichon de Cayenne,Moscareta Barbada,Geelstuittiran,solgumptyrann
Myiobius sulphureipygius,Sulphur-rumped Flycatcher,Barbichon à croupion jaune,Moscareta Culiamarilla,Zwavelstuittiran,svovelgumptyrann
Myioborus albifrons,White-fronted Redstart,Paruline à front blanc,Candelita Frentiblanca,Witvoorhoofdzanger,hvitbrillehvitstjert
Myioborus brunniceps,Brown-capped Redstart,Paruline basanée,Candelita Coronicastaña,Bruinkapzanger,brunkronehvitstjert
Myioborus castaneocapilla,Tepui Redstart,Paruline des tépuis,Candelita de Tepuí,Tepuizanger,tepuihvitstjert
Myioborus flavivertex,Yellow-crowned Redstart,Paruline à cimier jaune,Candelita Coronigualda,Geelkruinzanger,gulkronehvitstjert
Myioborus melanocephalus,Spectacled Redstart,Paruline à lunettes,Candelita de Anteojos,Brilzanger,gulbrillehvitstjert
Myioborus miniatus,Slate-throated Redstart,Paruline ardoisée,Candelita Plomiza,Meniezanger,skiferhvitstjert
Myioborus ornatus,Golden-fronted Redstart,Paruline dorée,Candelita Adornada,Zwartoorzanger,gulpannehvitstjert
Myioborus pictus,Painted Redstart,Paruline à ailes blanches,Candelita Aliblanca,Roodbuikzanger,hvitvingehvitstjert
Myioborus torquatus,Collared Redstart,Paruline ceinturée,Candelita Collareja,Halsbandzanger,ringhvitstjert
Myiodynastes bairdii,Baird's Flycatcher,Tyran de Baird,Bienteveo de Baird,Bairds Tiran,chimutyrann
Myiodynastes chrysocephalus,Golden-crowned Flycatcher,Tyran à casque d'or,Bienteveo Coronidorado,Goudkruintiran,gullissetyrann
Myiodynastes hemichrysus,Golden-bellied Flycatcher,Tyran à ventre d'or,Bienteveo Ventridorado,Goudbuiktiran,gyllenbuktyrann
Myiodynastes luteiventris,Sulphur-bellied Flycatcher,Tyran tigré,Bienteveo Ventriazufrado,Witvoorhoofdtiran,svovelbuktyrann
Myiodynastes maculatus,Streaked Flycatcher,Tyran audacieux,Bienteveo Rayado,Gestreepte Tiran,stripetyrann
Myiomela leucura,White-tailed Robin,Myiomèle à queue blanche,Ruiseñor Coliblanco,Witstaartcallene,hvithaleskvett
Myiopagis caniceps,Grey-headed Elaenia,Élénie à tête grise,Fiofío Gris (caniceps),Grijze Elenia (caniceps),gråelenia (caniceps)
Myiopagis flavivertex,Yellow-crowned Elaenia,Élénie à couronne d'or,Fiofío Coroniamarillo,Geelkruinelenia,varzeaelenia
Myiopagis gaimardii,Forest Elaenia,Élénie de Gaimard,Fiofío Selvático,Boselenia,skogelenia
Myiopagis olallai,Foothill Elaenia,Élénie d'avant-monts,Fiofío Submontano,Heuvellandelenia,fjellfotelenia
Myiopagis subplacens,Pacific Elaenia,Élénie striée,Fiofío del Pacífico,Ecuadoraanse Elenia,ecuadorelenia
Myiopagis viridicata,Greenish Elaenia,Élénie verdâtre,Fiofío Verdoso,Groene Elenia,grønnelenia
Myiophobus cryptoxanthus,Olive-chested Flycatcher,Moucherolle à poitrine olive,Mosquero Pechioliva,Olijfkuiftiran,olivenbrysttyrann
Myiophobus fasciatus,Bran-coloured Flycatcher,Moucherolle fascié,Mosquero Estriado,Roesttiran,kjerrtyrann
Myiophobus flavicans,Flavescent Flycatcher,Moucherolle flavescent,Mosquero Amarillo,Goudtiran,gulstenktyrann
Myiophobus phoenicomitra,Orange-crested Flycatcher,Moucherolle à cimier orange,Mosquero Crestinaranja,Oranjekuiftiran,ildkronetyrann
Myiopsitta monachus,Monk Parakeet,Perriche veuve,Cotorra Argentina,Monniksparkiet,munkeparakitt
Myiornis albiventris,White-bellied Pygmy-Tyrant,Microtyran à ventre blanc,Mosqueta Ventriblanca,Witborstdwergtiran,hvitbukknøttyrann
Myiornis atricapillus,Black-capped Pygmy-Tyrant,Microtyran à calotte noire,Mosqueta Capirotada,Zwartkapdwergtiran,svartkroneknøttyrann
Myiornis auricularis,Eared Pygmy-Tyrant,Microtyran oreillard,Mosqueta Enana,Oorvlekdwergtiran,gulbukknøttyrann
Myiornis ecaudatus,Short-tailed Pygmy-Tyrant,Microtyran à queue courte,Mosqueta Colicorta,Kortstaartdwergtiran,korthaleknøttyrann
Myiotheretes fumigatus,Smoky Bush-Tyrant,Moucherolle enfumé,Birro Ahumado,Roetkleurige Struiktiran,røyktyrann
Myiotheretes fuscorufus,Rufous-bellied Bush-Tyrant,Moucherolle à ventre fauve,Birro Ventrirrufo,Roodbuikstruiktiran,cuzcotyrann
Myiotheretes pernix,Santa Marta Bush-Tyrant,Moucherolle de Santa Marta,Birro de Santa Marta,Santa-Martastruiktiran,santamartatyrann
Myiotheretes striaticollis,Streak-throated Bush-Tyrant,Moucherolle à gorge rayée,Birro Grande,Streepkeelstruiktiran,stripestrupetyrann
Myiothlypis basilica,Santa Marta Warbler,Paruline de Santa Marta,Reinita de Santa Marta,Santa-Martazanger,bambusparula
Myiothlypis bivittata,Two-banded Warbler,Paruline rubanée,Reinita Bandeada,Dubbelbandzanger,ildkroneparula
Myiothlypis chrysogaster,Cuzco Warbler,Paruline à ventre doré,Reinita Ventridorada (chrysogaster),Goudbuikzanger (chrysogaster),inkaparula (chrysogaster)
Myiothlypis cinereicollis,Grey-throated Warbler,Paruline à cou gris,Reinita Gorjigrís,Grijskeelzanger,gråstrupeparula
Myiothlypis conspicillata,White-lored Warbler,Paruline à lores blancs,Reinita Embridada,Witteugelzanger,brilleparula
Myiothlypis coronata,Russet-crowned Warbler,Paruline à diadème,Reinita Coronirroja,Goudkruinzanger,rustkroneparula
Myiothlypis flaveola,Flavescent Warbler,Paruline flavescente,Reinita Amarillenta,Amazonezanger,gulbukparula
Myiothlypis fraseri,Grey-and-gold Warbler,Paruline de Fraser,Reinita de Fraser,Feeënzanger,ecuadorparula
Myiothlypis fulvicauda,Buff-rumped Warbler,Paruline à croupion fauve,Reinita Culiparda,Zeemstuitzanger,kakiparula
Myiothlypis leucoblephara,White-browed Warbler,Paruline à paupières blanches,Reinita Silbona,Witbrauwzanger,paranáparula
Myiothlypis leucophrys,White-striped Warbler,Paruline bridée,Reinita Cejiblanca,Goudflankzanger,hvitbrynparula
Myiothlypis luteoviridis,Citrine Warbler,Paruline citrine,Reinita Citrina,Bonapartes Zanger,andesparula
Myiothlypis nigrocristata,Black-crested Warbler,Paruline à cimier noir,Reinita Crestinegra,Zwartkuifzanger,svartisseparula
Myiothlypis rivularis,Riverbank Warbler,Paruline des rives,Reinita Ribereña,Vloedboszanger,flodparula
Myiothlypis signata,Pale-legged Warbler,Paruline à pattes pâles,Reinita Paticlara,Bleekpootzanger,bergparula
Myiotriccus ornatus,Ornate Flycatcher,Moucherolle orné,Mosquerito Adornado,Ornaattiran,ornattyrann
Myiozetetes cayanensis,Rusty-margined Flycatcher,Tyran de Cayenne,Bienteveo Alicastaño,Roestvleugeltiran,rustvingetyrann
Myiozetetes granadensis,Grey-capped Flycatcher,Tyran à tête grise,Bienteveo Cabecigrís,Grijskruintiran,gråkronetyrann
Myiozetetes luteiventris,Dusky-chested Flycatcher,Tyran à gorge rayée,Bienteveo Pechioscuro,Kortsnaveltiran,varzeatyrann
Myiozetetes similis,Social Flycatcher,Tyran sociable,Bienteveo Sociable,Roodkruintiran,haciendatyrann
Myophonus caeruleus,Blue Whistling-Thrush,Arrenga siffleur,Arrenga Común,Chinese Fluitlijster,blåplystretrost
Myophonus horsfieldii,Malabar Whistling-Thrush,Arrenga de Malabar,Arrenga Indio,Malabarfluitlijster,malabarplystretrost
Myophonus insularis,Taiwan Whistling-Thrush,Arrenga de Taïwan,Arrenga de Formosa,Taiwanfluitlijster,taiwanplystretrost
Myophonus melanurus,Shiny Whistling-Thrush,Arrenga de Sumatra,Arrenga Brillante,Glanzende Fluitlijster,glansplystretrost
Myornis senilis,Ash-coloured Tapaculo,Mérulaxe cendré,Tapaculo Cenizo,Grijze Tapaculo,asketapakulo
Myrmeciza longipes,White-bellied Antbird,Alapi à ventre blanc,Hormiguero Ventriblanco,Witbuikmiervogel,smekkemaurfugl
Myrmecocichla aethiops,Northern Anteater-Chat,Traquet brun,Zorzal Hormiguero Septentrional,Bruine Miertapuit,termittskvett
Myrmecocichla arnotti,Arnot's Chat,Traquet d'Arnot,Zorzal Hormiguero de Arnot,Arnotts Miertapuit,hvitkroneskvett
Myrmecocichla formicivora,Southern Anteater-Chat,Traquet fourmilier,Zorzal Hormiguero Meridional,Kaapse Miertapuit,maurskvett
Myrmecocichla monticola,Mountain Wheatear,Traquet montagnard,Collalba Montana,Bergtapuit,hvitvingeskvett
Myrmecocichla nigra,Sooty Chat,Traquet commandeur,Zorzal Hormiguero Negro,Zwarte Miertapuit,sotskvett
Myrmelastes humaythae,Humaita Antbird,Alapi d'Humaita,Hormiguero de Humaita,Humaitámiervogel,humaitamaurfugl
Myrmelastes hyperythrus,Plumbeous Antbird,Alapi plombé,Hormiguero Plomizo,Chamicurusmiervogel,blymaurfugl
Myrmelastes leucostigma,Spot-winged Antbird,Alapi ponctué,Hormiguero Alimoteado,Vlekvleugelmiervogel,flekkvingemaurfugl
Myrmelastes rufifacies,Rufous-faced Antbird,Alapi à face rousse,Hormiguero de Tapajós,Roodwangmiervogel,rustmaskemaurfugl
Myrmelastes schistaceus,Slate-coloured Antbird,Alapi ardoisé,Hormiguero Pizarroso,Leigrijze Miervogel,skifermaurfugl
Myrmoborus leucophrys,White-browed Antbird,Alapi à sourcils blancs,Hormiguero Cejiblanco,Witbrauwmierkruiper,hvitbrynmaurfugl
Myrmoborus lophotes,White-lined Antbird,Alapi huppé,Hormiguero Crestado,Roodkuifmiervogel,toppmaurfugl
Myrmoborus lugubris,Ash-breasted Antbird,Alapi lugubre,Hormiguero Lúgubre,Asborstmierkruiper,varzeamaurfugl
Myrmoborus melanurus,Black-tailed Antbird,Alapi à queue noire,Hormiguero Colinegro,Zwartstaartmierkruiper,mørkhalemaurfugl
Myrmoborus myotherinus,Black-faced Antbird,Alapi masqué,Hormiguero Carinegro,Zwartmaskermierkruiper,maskemaurfugl
Myrmochanes hemileucus,Black-and-white Antbird,Myrmidon noir et blanc,Hormiguero Negriblanco,Zwart-witte Mierkruiper,flodmaurfugl
Myrmoderus ferrugineus,Ferruginous-backed Antbird,Alapi à cravate noire,Hormiguero Ferruginoso,Roodrugmiervogel,prydmaurfugl
Myrmoderus loricatus,White-bibbed Antbird,Alapi cuirassé,Hormiguero Enmascarado,Witbefmiervogel,brynjemaurfugl
Myrmoderus ruficauda,Scalloped Antbird,Alapi barbu,Hormiguero Festoneado,Bruinkapmiervogel,vatremaurfugl
Myrmoderus squamosus,Squamate Antbird,Alapi écaillé,Hormiguero Escamoso,Schubbenmiervogel,skjellmaurfugl
Myrmophylax atrothorax,Black-throated Antbird,Alapi de Buffon,Hormiguero Gorjinegro,Zwartkeelmiervogel,svartbrystmaurfugl
Myrmorchilus strigilatus,Stripe-backed Antbird,Grisin à dos rayé,Hormiguero Estriado,Witbaardmiervogel,striperyggmaurfugl
Myrmornis torquata,Wing-banded Antbird,Palicour de Cayenne,Hormiguero Alifranjeado,Bonte Mierlijster,vaktelmaurfugl
Myrmothera berlepschi,Amazonian Antpitta,Grallaire d'Amazonie,Tororoí Amazónico,Amazonemierpitta,amazonmaurpitta
Myrmothera campanisona,Thrush-like Antpitta,Grallaire grand-beffroi,Tororoí Campanero,Lijstermierpitta,brunryggmaurpitta
Myrmothera dives,Thicket Antpitta,Grallaire buissonnière,Tororoí Ventricanela Colombiano,Oranjeflankmierpitta,oransjeflankemaurpitta
Myrmothera fulviventris,White-lored Antpitta,Grallaire à ventre fauve,Tororoí Ventricanela Ecuatoriano,Zwartkapmierpitta,hvittøylemaurpitta
Myrmothera simplex,Tepui Antpitta,Grallaire sobre,Tororoí Flautista,Bruinborstmierpitta,tepuimaurpitta
Myrmothera subcanescens,Tapajos Antpitta,Grallaire grisâtre,Tororoí de Tapajos,Tapajos Antpitta,tapajosmaurpitta
Myrmotherula ambigua,Yellow-throated Antwren,Myrmidon à gorge jaune,Hormiguerito Gorjiamarillo,Geelkeelmiersluiper,gulstrupemaursmett
Myrmotherula assimilis,Leaden Antwren,Myrmidon plombé,Hormiguerito Plomizo,Pelzelns Miersluiper,blymaursmett
Myrmotherula axillaris,White-flanked Antwren,Myrmidon à flancs blancs,Hormiguerito Flanquialbo,Witflank-miersluiper,hvitflankemaursmett
Myrmotherula brachyura,Pygmy Antwren,Myrmidon pygmée,Hormiguerito Pigmeo,Dwergmiersluiper,dvergmaursmett
Myrmotherula cherriei,Cherrie's Antwren,Myrmidon de Cherrie,Hormiguerito de Cherrie,Cherries Miersluiper,strekmaursmett
Myrmotherula ignota,Moustached Antwren,Myrmidon de Griscom,Hormiguerito de Griscom,Griscoms Miersluiper,skjeggmaursmett
Myrmotherula iheringi,Ihering's Antwren,Myrmidon d'Ihering,Hormiguerito de Ihering,Iherings Miersluiper,svartbrystmaursmett
Myrmotherula klagesi,Klages's Antwren,Myrmidon de Klages,Hormiguerito de Klages,Klages' Miersluiper,varzeamaursmett
Myrmotherula longicauda,Stripe-chested Antwren,Myrmidon à ventre blanc,Hormiguerito Pechilistado,Langstaartmiersluiper,stripebrystmaursmett
Myrmotherula longipennis,Long-winged Antwren,Myrmidon longipenne,Hormiguerito Alilargo,Langvleugelmiersluiper,langvingemaursmett
Myrmotherula menetriesii,Grey Antwren,Myrmidon gris,Hormiguerito Gris,Bonte Miersluiper,gråmaursmett
Myrmotherula minor,Salvadori's Antwren,Myrmidon de Salvadori,Hormiguerito de Salvadori,Salvadori's Miersluiper,småmaursmett
Myrmotherula multostriata,Amazonian Streaked-Antwren,Myrmidon strié,Hormiguerito Amazónico,Amazonemiersluiper,amazonmaursmett
Myrmotherula pacifica,Pacific Antwren,Myrmidon du Pacifique,Hormiguerito del Pacífico,Pacifische Miersluiper,chocomaursmett
Myrmotherula schisticolor,Slaty Antwren,Myrmidon ardoisé,Hormiguerito Pizarroso,Leigrijze Miersluiper,skifermaursmett
Myrmotherula sclateri,Sclater's Antwren,Myrmidon de Sclater,Hormiguerito de Sclater,Sclaters Miersluiper,gulbukmaursmett
Myrmotherula surinamensis,Guianan Streaked-Antwren,Myrmidon du Suriname,Hormiguerito de Surinam,Guyanamiersluiper,guyanamaursmett
Myrmotherula unicolor,Unicoloured Antwren,Myrmidon unicolore,Hormiguerito Unicolor,Effen Miersluiper,tinnmaursmett
Myrmotherula urosticta,Band-tailed Antwren,Myrmidon à queue blanche,Hormiguerito Atlántico,Witstaartmiersluiper,hvittippmaursmett
Myrtis fanny,Purple-collared Woodstar,Colibri de Fanny,Colibrí de Myrtis,Purperkraagkolibrie,turkiskinnkolibri
Mystacornis crossleyi,Crossley's Vanga,Mystacorne de Crossley,Tordina Malgache,Crossleys Timalia,mustasjevanga
Myza sarasinorum,White-eared Myza,Méliphage à points,Mielero Grande de Célebes,Mengkokahoningzuiger,kastanjehonningeter
Myzomela cardinalis,Cardinal Myzomela,Myzomèle cardinal,Mielero Cardenal,Kardinaaldwerghoningeter,kardinalhonningeter
Myzomela erythrocephala,Red-headed Myzomela,Myzomèle à tête rouge,Mielero Cabecirrojo,Roodkopdwerghoningeter,rødhodehonningeter
Myzomela obscura,Dusky Myzomela,Myzomèle ombré,Mielero Sombrío,Bruine Dwerghoningeter,rødstenkhonningeter
Myzomela rosenbergii,Red-collared Myzomela,Myzomèle de Rosenberg,Mielero de Rosenberg,Zwartkopdwerghoningeter,prakthonningeter
Myzomela rubratra,Micronesian Myzomela,Myzomèle de Micronésie,Mielero de Micronesia,Vuurdwerghoningeter,mikronesiahonningeter
Myzomela sanguinolenta,Scarlet Myzomela,Myzomèle écarlate,Mielero Escarlata,Scharlaken Dwerghoningeter,skarlagenhonningeter
Nannopsittaca panychlora,Tepui Parrotlet,Toui des tépuis,Cotorrita de Tepuy,Tepuiparkiet,tepuiparakitt
Nannopterum auritum,Double-crested Cormorant,Cormoran à aigrettes,Cormorán Orejudo,Geoorde Aalscholver,totoppskarv
Nannopterum brasilianum,Neotropic Cormorant,Cormoran vigua,Cormorán Biguá,Bigua-aalscholver,flodskarv
Napothera danjoui,Short-tailed Scimitar-Babbler,Turdinule de Danjou,Ratina Indochina,Annamkruiplijster (danjoui/parvirostris),sigdmarktimal
Napothera epilepidota,Eyebrowed Wren-Babbler,Petite Turdinule,Ratina Cejuda,Streepborstsluiptimalia,blekbrynmarktimal
Napothera malacoptila,Long-billed Wren-Babbler,Turdinule à long bec,Ratina Picuda,Assamdwergkruiplijster,fløyelsmarktimal
Nasica longirostris,Long-billed Woodcreeper,Grimpar nasican,Trepatroncos Piquilargo,Langsnavelmuisspecht,langnebbtreløper
Nectarinia famosa,Malachite Sunbird,Souimanga malachite,Suimanga Malaquita,Emeraldhoningzuiger,malakittsolfugl
Nectarinia kilimensis,Bronze Sunbird,Souimanga bronzé,Suimanga Bronceado,Bronshoningzuiger,bronsesolfugl
Nemosia pileata,Hooded Tanager,Tangara coiffe-noire,Tangara Encapuchada,Kaptangare,tøyletanagar
Nengetus cinereus,Grey Monjita,Pépoaza cendré,Monjita Gris,Grijze Monjita,gråtyrann
Neochmia phaeton,Crimson Finch,Diamant phaéton,Diamante Escarlata,Zonastrild,solastrild
Neochmia temporalis,Red-browed Firetail,Diamant à cinq couleurs,Diamante Cejirrojo,Doornastrild,rødbrynastrild
Neoconocephalus bivocatus,False Robust Conehead,False Robust Conehead,False Robust Conehead,False Robust Conehead,False Robust Conehead
Neoconocephalus ensiger,Sword-bearing Conehead,Sword-bearing Conehead,Sword-bearing Conehead,Sword-bearing Conehead,Sword-bearing Conehead
Neoconocephalus retusus,Round-tipped Conehead,Round-tipped Conehead,Round-tipped Conehead,Round-tipped Conehead,Round-tipped Conehead
Neoconocephalus robustus,Robust Conehead,Robust Conehead,Robust Conehead,Robust Conehead,Robust Conehead
Neocossyphus finschi,Finsch's Flycatcher-Thrush,Finsch's Flycatcher-Thrush,Finsch's Flycatcher-Thrush,Finsch's Flycatcher-Thrush,Finsch's Flycatcher-Thrush
Neocossyphus fraseri,Rufous Flycatcher-Thrush,Rufous Flycatcher-Thrush,Rufous Flycatcher-Thrush,Rufous Flycatcher-Thrush,Rufous Flycatcher-Thrush
Neocossyphus poensis,White-tailed Ant-Thrush,Néocossyphe à queue blanche,Zorzal de Fernando Póo,Witstaartlijster,hvithalemaurtrost
Neocossyphus rufus,Red-tailed Ant-Thrush,Néocossyphe à queue rousse,Zorzal Colirrufo,Roodstaartlijster,rødhalemaurtrost
Neoctantes niger,Black Bushbird,Batara des fourrés,Batará Arbustero,Zwarte Dikbekmiervogel,svartgrovnebb
Neomixis striatigula,Stripe-throated Jery,Grande Éroesse,Jiji Grande,Streepkeeljery,stripestrupejeri
Neomixis tenella,Common Jery,Petite Éroesse,Jiji Común,Grijsnekjery,grånakkejeri
Neomorphus geoffroyi,Rufous-vented Ground-Cuckoo,Géocoucou de Geoffroy,Cuco Hormiguero Ventrirrufo,Roodbuikgrondkoekoek,rustbukjordgjøk
Neomorphus rufipennis,Rufous-winged Ground-Cuckoo,Géocoucou à ailes rousses,Cuco Hormiguero Alirrufo,Roodvleugelgrondkoekoek,guyanajordgjøk
Neonemobius cubensis,Cuban Ground Cricket,Cuban Ground Cricket,Cuban Ground Cricket,Cuban Ground Cricket,Cuban Ground Cricket
Neopelma aurifrons,Wied's Tyrant-Manakin,Manakin tyran,Saltarín de Wied,Wieds Tiranmanakin,tupinambatyrakin
Neopelma chrysocephalum,Saffron-crested Tyrant-Manakin,Manakin à panache doré,Saltarín Coronigualdo,Geelkuiftiranmanakin,safrankronetyrakin
Neopelma chrysolophum,Serra do Mar Tyrant-Manakin,Manakin de Serra do Mar,Saltarín de Serra Do Mar,Pinto's Tiranmanakin,gullkronetyrakin
Neopelma pallescens,Pale-bellied Tyrant-Manakin,Manakin à ventre blanc,Saltarín Ventriblanco,Witbuiktiranmanakin,lysbuktyrakin
Neopelma sulphureiventer,Sulphur-bellied Tyrant-Manakin,Manakin à ventre jaune,Saltarín Ventrisulfúreo,Geelbuiktiranmanakin,svovelbuktyrakin
Neophema pulchella,Turquoise Parrot,Perruche turquoisine,Periquito Turquesa,Turkooisparkiet,turkisparakitt
Neopipo cinnamomea,Cinnamon Manakin-Tyrant,Néopipo cannelle,Mosquerito Canelo,Kaneelmanakin,kanelbuktyrann
Neothraupis fasciata,White-banded Tanager,Tangara unifascié,Tangara Bandeada,Witbandtangare,varslertanagar
Nephelomyias lintoni,Orange-banded Flycatcher,Moucherolle de Linton,Mosquero de Linton,Oranjebandtiran,ecuadortyrann
Nephelomyias pulcher,Handsome Flycatcher,Moucherolle superbe,Mosquero Hermoso,Goudborsttiran,okerbåndtyrann
Nesillas lantzii,Subdesert Brush-Warbler,Nésille de Lantz,Zarzalero de Lantz,Lantz' Zanger,halvørkensanger
Nesillas typica,Malagasy Brush-Warbler,Nésille malgache,Zarzalero Malgache,Malagasy Brush-Warbler,madagaskarsanger
Nesoenas mayeri,Pink Pigeon,Pigeon rose,Paloma Rosada,Mauritiusduif,rosendue
Nesoptilotis flavicollis,Yellow-throated Honeyeater,Méliphage à gorge jaune,Mielero Cuelligualdo,Geelkeelhoningeter,gulstrupehonningeter
Nesoptilotis leucotis,White-eared Honeyeater,Méliphage leucotique,Mielero Orejiblanco,Witoorhoningeter,hvitørehonningeter
Nesospingus speculiferus,Puerto Rican Tanager,Pleureur de Porto Rico,Tangara Puertorriqueña,Puertoricaanse Tangare,puertoricotanagar
Nestor meridionalis,New Zealand Kaka,Nestor superbe,Kaka,Kaka,kaka
Netta rufina,Red-crested Pochard,Nette rousse,Pato Colorado,Krooneend,rødhodeand
Nettapus coromandelianus,Cotton Pygmy-Goose,Anserelle de Coromandel,Gansito Asiático,Coromandeleend,beltedvergand
Newtonia amphichroa,Dark Newtonia,Newtonie sombre,Newtonia Oscura,Groene Newtonia,tanalavanga
Newtonia archboldi,Archbold's Newtonia,Newtonie d'Archbold,Newtonia de Archbold,Archbolds Newtonia,antandroyvanga
Newtonia brunneicauda,Common Newtonia,Newtonie commune,Newtonia Común,Roodbuiknewtonia,merinavanga
Nicator chloris,Western Nicator,Nicator du Sénégal,Conquistador Occidental,Grijskeelnicator,vestnikator
