Scientific_Name,en_uk,fr,es,nl,no
Aeronautes montivagus,White-tipped Swift,Martinet montagnard,Vencejo Montañés,Kleine Andesgierzwaluw,hvittippseiler
Aeronautes saxatalis,White-throated Swift,Martinet à gorge blanche,Vencejo Gorjiblanco,Bonte Gierzwaluw,mesaseiler
Aethia pusilla,Least Auklet,Starique minuscule,Mérgulo Mínimo,Dwergalk,flekkdvergalke
Aethia pygmaea,Whiskered Auklet,Starique pygmée,Mérgulo Bigotudo,Geoorde Dwergalk,praktdvergalke
Aethopyga christinae,Fork-tailed Sunbird,Souimanga de Christina,Suimanga de Christina,Vorkstaarthoningzuiger,gaffelsolfugl
Aethopyga gouldiae,Mrs. Gould's Sunbird,Souimanga de Gould,Suimanga de Gould,Goulds Honingzuiger,purpurkronesolfugl
Aethopyga ignicauda,Fire-tailed Sunbird,Souimanga queue-de-feu,Suimanga Colafuego,Vuurstaarthoningzuiger,ildhalesolfugl
Aethopyga nipalensis,Green-tailed Sunbird,Souimanga à queue verte,Suimanga Coliverde,Groenstaarthoningzuiger,grønnhalesolfugl
Aethopyga saturata,Black-throated Sunbird,Souimanga sombre,Suimanga Gorjinegro,Zwartkeelhoningzuiger,svartstrupesolfugl
Aethopyga siparaja,Crimson Sunbird,Souimanga siparaja,Suimanga Siparaja,Geelrughoningzuiger,karminsolfugl
Aethopyga temminckii,Temminck's Sunbird,Souimanga de Temminck,Suimanga de Temminck,Temmincks Honingzuiger,skarlagensolfugl
Aethopyga vigorsii,Vigors's Sunbird,Souimanga de Vigors,Suimanga de Vigors,Vigors' Honingzuiger,rødsolfugl
Agapornis canus,Grey-headed Lovebird,Inséparable à tête grise,Inseparable Malgache,Grijskopagapornis,gråhodet dvergpapegøye
Agapornis fischeri,Fischer's Lovebird,Inséparable de Fischer,Inseparable de Fischer,Fischers Agapornis,rødhodet dvergpapegøye
Agapornis personatus,Yellow-collared Lovebird,Inséparable masqué,Inseparable Cabecinegro,Zwartmaskeragapornis,svarthodet dvergpapegøye
Agapornis roseicollis,Rosy-faced Lovebird,Inséparable rosegorge,Inseparable de Namibia,Perzikkopagapornis,rosenhodet dvergpapegøye
Agapornis taranta,Black-winged Lovebird,Inséparable d'Abyssinie,Inseparable Abisinio,Zwartvleugelagapornis,svartvinget dvergpapegøye
Agelaioides badius,Greyish Baywing,Carouge à ailes baies,Tordo Músico,Grijze Koevogel,brunvingetrupial
Agelaius phoeniceus,Red-winged Blackbird,Carouge à épaulettes,Sargento Alirrojo,Epauletspreeuw,rødvingetrupial
Agelaius tricolor,Tricoloured Blackbird,Carouge de Californie,Sargento Tricolor,Driekleurtroepiaal,kaliforniatrupial
Agelasticus cyanopus,Unicoloured Blackbird,Carouge unicolore,Varillero Negro,Moerastroepiaal,sumptrupial
Agelasticus thilius,Yellow-winged Blackbird,Carouge galonné,Varillero Aliamarillo,Geelboegtroepiaal,gulvingetrupial
Agelasticus xanthophthalmus,Pale-eyed Blackbird,Carouge à oeil clair,Varillero Ojipálido,Drijftiltroepiaal,blekøyetrupial
Aglaiocercus coelestis,Violet-tailed Sylph,Sylphe à queue violette,Silfo Celeste,Violetstaartnimf,celestsylfe
Aglaiocercus kingii,Long-tailed Sylph,Sylphe à queue d'azur,Silfo de King,Langstaartnimf,andessylfe
Agriornis montanus,Black-billed Shrike-Tyrant,Gaucho à bec noir,Gaucho Serrano,Zwartbekklauwiertiran,svartnebbrovtyrann
Agropsar philippensis,Chestnut-cheeked Starling,Étourneau à joues marron,Estornino Carirrojo,Roodwangspreeuw,brunkinnstær
Agropsar sturninus,Daurian Starling,Étourneau de Daourie,Estornino Dáurico,Daurische Spreeuw,mandsjuriastær
Ailuroedus crassirostris,Green Catbird,Jardinier vert,Maullador Verde,Groene Katvogel,grønnkattefugl
Ailuroedus maculosus,Spotted Catbird,Jardinier de Ramsay,Maullador Moteado,Spotted Catbird,flekkattefugl
Aimophila notosticta,Oaxaca Sparrow,Tohi d'Oaxaca,Chingolo Oaxaqueño,Oaxacagors,oaxacaspurv
Aimophila rufescens,Rusty Sparrow,Tohi roussâtre,Chingolo Rojizo,Roestruggors,indianerspurv
Aimophila ruficeps,Rufous-crowned Sparrow,Tohi à calotte fauve,Chingolo Coronirrufo,Roestkruingors,rustkronespurv
Aix galericulata,Mandarin Duck,Canard mandarin,Pato Mandarín,Mandarijneend,mandarinand
Aix sponsa,Wood Duck,Canard branchu,Pato Joyuyo,Carolina-eend,brudeand
Akletos goeldii,Goeldi's Antbird,Alapi de Goeldi,Hormiguero de Goeldi,Goeldi's Miervogel,amahuacamaurfugl
Akletos melanoceps,White-shouldered Antbird,Alapi à épaules blanches,Hormiguero Hombroblanco,Witschoudermiervogel,epålettmaurfugl
Alaemon alaudipes,Greater Hoopoe-Lark,Sirli du désert,Alondra Ibis,Witbandleeuwerik,langnebblerke
Alauda arvensis,Eurasian Skylark,Alouette des champs,Alondra Común,Veldleeuwerik,sanglerke
Alauda gulgula,Oriental Skylark,Alouette gulgule,Alondra Oriental,Kleine Veldleeuwerik,orientlerke
Alaudala cheleensis,Asian Short-toed Lark,Alouette de Swinhoe,Terrera de Mongolia,Asian Short-toed Lark,saltdverglerke
Alaudala heinei,Turkestan Short-toed Lark,Alouette de Heine,Terrera Pálida,Turkestan Short-toed Lark,Turkestan Short-toed Lark
Alaudala raytal,Sand Lark,Alouette raytal,Terrera Raytal,Indische Zandleeuwerik,sanddverglerke
Alaudala rufescens,Mediterranean Short-toed Lark,Alouette pispolette,Terrera Marismeña,Mediterranean Short-toed Lark,flekkdverglerke
Alaudala somalica,Somali Short-toed Lark,Alouette roussâtre,Terrera Somalí,Somalische Kortteenleeuwerik,somalidverglerke
Alca torda,Razorbill,Petit Pingouin,Alca Común,Alk,alke
Alcedo atthis,Common Kingfisher,Martin-pêcheur d'Europe,Martín Pescador Común,IJsvogel,isfugl
Alcedo meninting,Blue-eared Kingfisher,Martin-pêcheur méninting,Martín Pescador Meninting,Menintingijsvogel,lakmusisfugl
Alcippe brunneicauda,Brown Fulvetta,Alcippe brun,Fulveta Parda,Grijze Nontimalia,jernfulvetta
Alcippe fratercula,Yunnan Fulvetta,Alcippe de Rippon,Fulveta de Yunnan,Yunnannontimalia,yunnanfulvetta
Alcippe hueti,Huet's Fulvetta,Alcippe de Huet,Fulveta de Huet,Huets Nontimalia,guangdongfulvetta
Alcippe morrisonia,Morrison's Fulvetta,Alcippe à joues grises,Fulveta Carigrís,Grijswangnontimalia,gråhodefulvetta
Alcippe nipalensis,Nepal Fulvetta,Alcippe du Népal,Fulveta Nepalesa,Nepalese Nontimalia,brillefulvetta
Alcippe peracensis,Mountain Fulvetta,Alcippe bridé,Fulveta Montana,Maleise Nontimalia,hvitbrystfulvetta
Alcippe poioicephala,Brown-cheeked Fulvetta,Alcippe à joues brunes,Fulveta Cariparda,Bruinwangnontimalia,gråkronefulvetta
Alcippe pyrrhoptera,Javan Fulvetta,Alcippe de Java,Fulveta de Java,Javaanse Nontimalia,javafulvetta
Aleadryas rufinucha,Rufous-naped Bellbird,Carillonneur à nuque rousse,Silbador Nuquirrufo,Roodnekfluiter,rustnakkeplystrer
Alectoris barbara,Barbary Partridge,Perdrix gambra,Perdiz Moruna,Barbarijse Patrijs,berberhøne
Alectoris chukar,Chukar,Perdrix choukar,Perdiz Chucar,Aziatische Steenpatrijs,berghøne
Alectoris graeca,Rock Partridge,Perdrix bartavelle,Perdiz Griega,Steenpatrijs,steinhøne
Alectoris rufa,Red-legged Partridge,Perdrix rouge,Perdiz Roja,Rode Patrijs,rødhøne
Alectura lathami,Australian Brushturkey,Talégalle de Latham,Talégalo Cabecirrojo,Boskalkoen,klaveovnhøne
Alethe castanea,Fire-crested Alethe,Alèthe à couronne orangée,Alete Castaño,Diadeemalethe (castanea/woosnami),kastanjealete
Alethe diademata,White-tailed Alethe,Alèthe à huppe rousse,Alete Coliblanco,Diadeemalethe (diademata),ildkronealete
Alipiopsitta xanthops,Yellow-faced Parrot,Amazone à face jaune,Amazona del Cerrado,Geelbuikamazone,solpapegøye
Alisterus scapularis,Australian King-Parrot,Perruche royale,Papagayo Australiano,Australische Koningsparkiet,kongeparakitt
Allenia fusca,Scaly-breasted Thrasher,Moqueur grivotte,Cuitlacoche Oscuro,Geschubde Spotlijster,skjellspottefugl
Allonemobius allardi,Allard's Ground Cricket,Allard's Ground Cricket,Allard's Ground Cricket,Allard's Ground Cricket,Allard's Ground Cricket
Allonemobius tinnulus,Tinkling Ground Cricket,Tinkling Ground Cricket,Tinkling Ground Cricket,Tinkling Ground Cricket,Tinkling Ground Cricket
Allonemobius walkeri,Walker's Ground Cricket,Walker's Ground Cricket,Walker's Ground Cricket,Walker's Ground Cricket,Walker's Ground Cricket
Alophoixus finschii,Finsch's Bulbul,Bulbul de Finsch,Bulbul de Finsch,Finsch' Baardbuulbuul,olivenbrystbylbyl
Alophoixus flaveolus,White-throated Bulbul,Bulbul flavéole,Bulbul Frentigrís,Witkeelbaardbuulbuul,hvitstrupebylbyl
Alophoixus ochraceus,Ochraceous Bulbul,Bulbul ocré,Bulbul Ocráceo,Rosse Baardbuulbuul,okerbylbyl
